Star Rating,Review Title,Review Description
5.0 out of 5 stars,Best in this price range!,"I recently bought the Samsung Galaxy Buds Core from Amazon, and honestly, I’m very impressed with the overall performance. The sound quality is clear with good bass, and the noise cancellation works quite well for this price range.The battery backup is also great – it easily lasts a full day on a single charge. Calling quality is clear, and the other person can hear my voice without any issues.They are very comfortable to wear and fit securely in the ears, even during movement. The touch controls are smooth and responsive.Overall, these are the best earbuds in this budget. Highly recommended for anyone looking for quality wireless earbuds!Read more"
4.0 out of 5 stars,Good product,"?? Sound Quality• Volume: OnePlus Nord Buds 2 were louder; this pair is slightly less powerful but smoother.• Listening Comfort: Smooth sound makes it pleasant for long listening sessions.• Bass: Strong and enjoyable for both music and movies.• Instrument Separation: Clear enough to distinguish instruments, adding depth to tracks.?? Connectivity & Features• Instant Pairing: Connects quickly without hassle.• Samsung Wearable App: Works seamlessly, allowing customization.• Equalizer Options: Flexibility to choose sound profiles that suit your taste.?? Design & Fit• Size: Compact and lightweight.• Fit: Comfortable and secure, ideal for extended use.?? Noise Cancellation• ANC Performance: Not very strong; nearby sounds remain audible.• Effectiveness: Roughly 60% reduction in external noise.? Overall ImpressionA compact, well fitting pair of earbuds with smooth sound, good bass, and reliable connectivity. While ANC could be stronger, the listening comfort and customization options make it a solid choice overall.Read more"
3.0 out of 5 stars,Overall view on this model worthy or mid?,"The overall qualities are goodAnc- average it do reduce but not to the level we expect even in a noise cancellation on i can able to hear fan soundEnc- not a big fan they claim they have enc , 6 mic but the quality is average in a quiet environment the voice quality is ok in an traffic environment the voice is worstAudio - its mid we can't expect a gud quality its mid for this price rangeEar fits - its damn good but after few hrs can feel the pain in earDesign awsome but in black it het smudge easily and it gets scratch easilyTop lid quality is worst its wobling feel like it might come with handConnectivity once paired it so fast like when i ipen the lid of the case it connects automatically , battery life is mid for this price range many companies giving more than 40+hrsRead more"
5.0 out of 5 stars,Samsung Buds Core ??,"Overall s good product from Samsung and qat impression and in hamd feel is awesome but glossy finish is there so scratches may come easily so with these take the case cover around 300 rs so take these also so that tour case will be scratch proof and safe and battery life is also good 4 days 1 time charge and sound is also good overall rating out of 5 start and 4.5 start and durability is good not that much high durability but it,s good ?? ?? ??  TAKE THE CASE COVER FOR SCRATCH PROOF ????Read more"
5.0 out of 5 stars,Great product,"Best sound quality especially in samsung mobiles, good ANC and Transparency. Great call quality and mic quality, no distortions in full volume also. Best for the price.Read more"
5.0 out of 5 stars,Good earphones,"These Airdopes 101v2 are good everyday wireless earbuds with clear sound and strong bass for the price. They offer up to 35 hours of battery life, fast charging, and easy Bluetooth pairing. The earbuds feel light and comfortable and sweat resistance, and the case is also durable and they work well for music, calls, and casual gaming with low latency mode, they’re great value for daily useRead more"
4.0 out of 5 stars,Sound clarity is good,Good product worth for moneyRead more
4.0 out of 5 stars,Good quality Value for money,Overall all things are goodComfort ?Sound/Bass?Battery capacity ?Build quality ?Connectivity ?All good value for moneyRead more
5.0 out of 5 stars,Good earbuds,"I bought these earbuds for regular use and they work fine. The fit is comfortable, sound is clear for music and calls, and battery backup is good. Charging is fast and connection stays stable during daily use.Read more"
5.0 out of 5 stars,Best earbuds for in this budget,The case is very light weight and compact in size so you can carry it in even a small pocket.Also the charging is fast and it connects instantly after bluetooth is turned on. The quality of the product is also good and it has a premium feel. Noise cancellation is good during playing music in medium volume otherwise the noise cancellation is ok. Worth the priceRead more
5.0 out of 5 stars,Best product,"recently bought the boAt true wireless earbuds and here’s my experience after using them daily for a few weeks:The audio is very good for the price — punchy bass and clear mids make music, videos, and calls enjoyable. They’re not premium-level, but for everyday listening and casual use, they deliver solid performance.The earbuds are lightweight and comfortable even after long listening sessions. They stay secure during walking and daily activities, which is great for on-the-go use.Battery life is impressive — the charging case gives many extra hours so you don’t need to plug in often. Fast charging is also handy if you’re in a hurry.Bluetooth pairing is simple, and the connection stays stable most of the time. Touch controls work fine, though sometimes they can feel a bit sensitive or inconsistent.Call quality is decent for normal use, but in noisy environments the mic isn’t the best compared to higher-end models.Great value for money — ideal if you want affordable wireless earbuds.Comfortable fit and decent sound quality.Long battery life and fast charge support.Read more"
3.0 out of 5 stars,Sound quality not bad,Moderate like any other. Battery life should be better. Anyway value for moneyRead more
4.0 out of 5 stars,Good . Worth the money,The sound and the  output is good and clear .Read more
5.0 out of 5 stars,GOBOULT Z40 100% Genuine Reviews,"It is a very good earbud, the design is very good, it is low weight, the touch control is very good, it has smooth touch control, the size is also correct, connectivity.The sound quality is very strong and the bass is also good.You can buy it without any hesitation, I am very happy after buying it.Read more"
4.0 out of 5 stars,Quality of earbuds is good,This is a nice earbuds value for money but sometimes it gives a crack sound while hearing the music and the comfort is good it has good bass overall it is goodRead more
5.0 out of 5 stars,Awasome ??,Itss too good and comfortable to wear and this mic quality is best ever I tried to callRead more
3.0 out of 5 stars,Too much background noice during calls,"The media could not be loaded.recently purchased the boAt Airdopes Z40 from Amazon, and overall my experience has been good. The delivery was surprisingly fast and well-handled. The packaging was secure, and the product arrived in perfect condition, which I truly appreciate. Amazon’s delivery service did a great job.Talking about the earbuds, the design looks premium and stylish. The sound quality for music is impressive with good bass and clear vocals. Battery backup is also decent and lasts as promised during regular use. Pairing was quick and smooth.However, I am facing one issue during calls. There is noticeable background noise, and sometimes the other person struggles to hear my voice clearly. The noise cancellation during calls could definitely be improved.Overall, it’s a good product for music and daily use, but call quality needs refinement. Hope this feedback helps future buyers and the brand to improve further.Read more"
4.0 out of 5 stars,Overall good and stylish,"Fine product by goboult, durable and a massive battery life the only issue is that you cannot see battery percentage of case.Read more"
5.0 out of 5 stars,Just Go for it !!,"It's been over 6 months since I'm using it and here's my experience with it's Features so far :1. Fast charging ( takes around 10-15 mins )2. Pretty good battery backup. Battery lasts for 1 day easily if you use continuously and a week if less used like for an hour or so.3. Sound and bass quality is solid.4. Have dropped it a few times still runs smoothly without any damage5. Bluetooth connectivity is nice ( 10 meters)6. Mic works pretty well during calls but noise cancellation isn't strong and it can catch even faint voices and noises.7. Really comfortable for the ears and has extra sillicon buds if you lose the current pair. The longest i could use it was for 4 hour non-stop then it hurt my ear a bit.I had ordered it in Brown colour and lemme tell you - IT. DID. NOT. DISAPPOINT with the design!! With that price trust me it's a gem , such a value for money!Read more"
5.0 out of 5 stars,Bass sound is superb.,"Superb sound, super bass, durable, amazing product in reasonable price, everyone must order this, i am using this product and its upto the marks 10/10.Read more"
3.0 out of 5 stars,Average quality but good for casual users.,"The media could not be loaded.Few things to keep in mind before buying:1. Quality - Decent quality, obviously plasticy feel you'll get do not expect it to look premium(as shown in product image). Hinge will loose after few use.2. Connectivity - App service is shxit and never connected with the app after trying for almost 3 weeks also tried to update but no luck. So you cannot tune according to yourself.3. Voice quality - Pretty good actually. I'm not into music so much but for me it's work good enough.4. Comfort & ease of use - it's not comfortable for long use mainly because of size, after 20-30 min my ear start to hurt.Overall decent product in budget. Do not have high expectations in terms of quality specially and also no ANC support.Read more"
5.0 out of 5 stars,Good product,"Worth for money, bass is goodRead more"
4.0 out of 5 stars,Awesome Earbuds with Great Features,"I am using these earbuds for almost 4-5 days and for almost 6-7 hours so my review is gonna be long. I will tell some pro/cons about these earbuds.Pros:1. Their design is awesome as their fit won’t be giving you any discomfort.2. Build quality is top notch but not very premium so they kinda justify their price point.3. Bass is very good so audiophiles can relax, treble is also balanced so audio is not drowned in bass, lastly the mid is crisp so the vocals sound loud and clear.4. Hey Melody app will add lot of value to already value added earbuds, however pro model and non pro models come with different set of features aka their is no transparency mode in non pro models and no on/off feature.5. Great touch sensitivity as their are no issues to it and they function perfectly.Cons:1. Questionable battery life(not bad), these earbuds claim a lot of battery life but that’s not true at all. You will get 5-7 hours with ANC on and if you turn it off then you might get 7-9 hours which is good.2. ANC is also questionable as its good but not perfect as you can still hear things if it’s turned on. 49db is just marketing gimmick.3. Delay in audio if connected to 2 devices, if you connect 2 devices then there will be delay in one device, mostly like a lag when you are listening to songs, that goes away when its just one device.4. Pricing of Pro and Non-Pro model. This one costed me like 2700 and non-pro model is 2000 and it makes no sense as there are just 2 features missing from non-pro model that is on/off and ambient noise so if that’s not important for you go with non-pro model as 700 extra is just a waste as they sound similar, the 32db and 49db ANC is just marketing gimmick as my friend had non-pro model and it sounded similar to mine with ANC.Conclusion: Go with pro model if you want transparency mode as that’s something I use a lot and if not just buy the non-pro model. These are very good earbuds. They are also the best when it comes to ANC and other features as same features are costing a lot in different brands. Lastly I am attaching 3 EQ presets (Balance, Vocal, Bass) which are better than the default ones as they are up a notch, hopefully it helps others if they want to customise their earbuds sound profile, you can tweak them if you want something extra.P.S The Cost cutting with packaging is appalling, I got previous nord buds box and its solid cardboard but this one is just filmsy paper box.Read more"
5.0 out of 5 stars,Good product should be bought,"Nice product only got difficulty while connecting with my mobile as it has a different way to connect but once it connected, it is really good, have good bass, and sound clarity even noise cancellation works very good. At this price it should b bought , it is real review. Basically I never provide the review for good product from Amazon, because this is what we expect from Amazon however I continuously updating bad reviews for the poor product so I think if something is good then it also need to be appreciated.Read more"
5.0 out of 5 stars,Good product,This headphone from One Plus is truly impressive. Sound quality is top notch and battery backup is praiseworthy. The looks is also smart and classy which outperforms many brands of similar category.  Go for it.Read more
5.0 out of 5 stars,Good ??,All over it's good product easy to carry also charging is fast and battery life is good.anc is work not 100% but in my case around 70-80% surrounding sound produce as well  calling compatibility is good and also versatility is fineRead more
1.0 out of 5 stars,"OnePlus Nord Buds 3: Rapid Failure, Questionable Durability & Disappointing Service","The media could not be loaded.I purchased the OnePlus Nord Buds 3 less than three months ago, hoping for a reliable audio companion for daily use. As someone who uses earphones more than the average person, durability and a reasonable level of resistance are important factors for me. Size and fit were fine, I was pleased with it's performance until the issues started.Usage & Expectations:My usage pattern involves frequent listening, primarily indoors in air-conditioned environments. While I do sweat more than average, I specifically avoid using earphones during workouts. My exposure to sweat typically happens during commutes or when stepping outside briefly. Given the IP55 rating, which suggests protection against dust ingress and low-pressure water jets, I reasonably expected the Nord Buds 3 to handle this level of sweat – equivalent to what a regular person might encounter. I never exposed them to rain or dropped them in water.The Failure Point - After Just 10 Weeks:Unfortunately, my experience fell drastically short. In just around 10 weeks (less than 3 months), I started experiencing significant connection issues. Upon inspection, I noticed corrosion or damage on the charging contact points. Significantly, all four contact points on the buds were affected simultaneously.The connection problems manifested in frustrating ways:Even after placing the buds back into the charging case, my phone would often still show them as connected and in use, draining their battery unnecessarily.Conversely, sometimes when taking the buds out of the case, they wouldn't connect or function at all, acting as if they were still stored inside.This erratic behavior points directly to the damaged contact points failing to correctly signal whether the buds were docked or undocked. While sweat is corrosive, the simultaneous failure of all four points in such a short time raises questions about whether this was solely due to sweat ingress or potentially indicative of a manufacturing defect or design flaw compromising the seals or contact materials. The IP55 rating certainly led me to believe they should have withstood this level of exposure.Horrible Service Experience:Seeking a solution under warranty, I visited the OnePlus service center. I clearly pointed out the damage to the contact points and described the specific connection issues. Despite this, I was made to wait for approximately 45 minutes, only to be told that the warranty claim was denied due to ""liquid damage,"" citing the shorted contact points.This response was incredibly frustrating. The service felt dismissive, with no real consideration given to the rapid failure time, the specific symptoms linked directly to contact failure, the simultaneous failure of all contacts, or the potential discrepancy between the advertised IP rating and real-world performance.Warranty Policy vs. Expectation:It was only after this denial that the specifics of the warranty became starkly clear. I understand now that OnePlus's official warranty policy may explicitly exclude any form of liquid damage, including sweat. However, even knowing the policy, the overall experience remains deeply unsatisfactory. For a product rated IP55 to fail from moderate, non-exercise sweat exposure in such a short timeframe is concerning. I expected a better experience – both from the product lasting significantly longer than 10 weeks and from a customer service interaction that felt less like an immediate dismissal.Conclusion:My experience with the OnePlus Nord Buds 3 has been extremely disappointing. The earphones failed completely in about 10 weeks due to apparent sweat damage causing critical contact point failure, despite an IP55 rating and careful, non-exercise use. The simultaneous failure of all contact points is suspicious. While OnePlus may not cover liquid damage under warranty according to their policy, the rapid product failure combined with a dismissive and unhelpful service experience leaves a very poor impression.Based on this, I cannot recommend the OnePlus Nord Buds 3, especially to individuals who might expose them to even moderate sweat. The practical durability seems questionable, and the after-sales support was lacking. Potential buyers should be wary. I am now forced to find replacement earphones far sooner than acceptable.Read more"
4.0 out of 5 stars,Outstanding sound and comfort – my go-to headphones!,"I ordered these headphones a month ago, and they’ve exceeded every expectation. The sound quality is crystal clear with deep bass and crisp highs that make music, podcasts, and calls come alive – perfect for my daily commutes and workouts. They’re incredibly comfortable, even after hours of wear. Battery life lasts a full day with some to spare. No connectivity issues, and the build feels premium. Highly recommend – worth every penny!Read more"
5.0 out of 5 stars,Very good,"Very good. I already have oneplus buds 3, base of buds 3 is better. Otherwise sound quality is sameRead more"
5.0 out of 5 stars,Absolutely Blown Away by the boAt Airdopes 300 - My New Audio Holy Grail! (Gunmetal Black),"Absolutely Blown Away by the boAt Airdopes 300 - My New Audio Holy Grail! (Gunmetal Black)Rating: ????? (5/5)Okay, I need to rave about these! After seeing the hype (and that 5K+ bought last month stat!), I grabbed the boAt Airdopes 300 in Gunmetal Black, and honestly? They've exceeded every expectation. If you're looking for premium features without the insane price tag, stop scrolling – these are it.Here's why I'm obsessed:1.  Cinematic Spatial Audio is REAL: This isn't just marketing fluff. Watching movies or binge-watching shows is a whole new experience. The sound genuinely feels like it's coming from around you – immersive, deep, and incredibly engaging. Music benefits massively too, feeling richer and more layered than any earbuds I've owned before.2.  Battery Life That Defies Logic: 50 HOURS?! This is the absolute game-changer. The earbuds themselves last ages (around 10 hours on a single charge for me), but the charging case just keeps going. I charged the case fully over a week ago, used the buds daily for hours (commutes, workouts, calls), and I still haven't seen a low battery warning. It's liberating not to constantly worry about charging. MASSIVE win.3.  Crystal Clear Calls with 4-Mic AI ENx: Taking calls on these is a dream. I've tested them on busy streets, windy balconies, and even in a slightly noisy cafe – the person on the other end consistently says I sound clear and focused. The AI noise cancellation for the mics really works wonders. No more ""Can you repeat that?"" frustrations.4.  Fast Charge is a Lifesaver: Forgot to charge? 10 minutes in the case genuinely gives you hours (around 2-2.5 in my experience) of playback. Super convenient when you're rushing out.5.  boAt App = Awesome Customization: The app is simple but powerful. I love tweaking the EQ presets (bass boost for workouts, podcast mode for clarity) and customizing the touch controls. Finding the earbuds via the app is also a handy feature.6.  Rock-Solid Connection & Low Latency: Bluetooth 5.3 is flawless. Pairing was instant, and the connection stays strong even when my phone is in another room. Gaming and watching videos is seamless – absolutely zero noticeable lag or audio-video sync issues.7.  Comfort & Build: The Gunmetal Black looks and feels super premium. They fit snugly and comfortably in my ears, even during longer sessions or workouts. The IPX4 rating gives me peace of mind against sweat and light rain.8.  Great Sound Signature: Bass is punchy and satisfying without being overwhelming, mids are clear for vocals, and highs are crisp. Perfectly tuned for everything from EDM to podcasts.Minor Nitpick (because nothing's perfect):The touch controls are sensitive (great!), but there's a slight learning curve to avoid accidental pauses/skips when adjusting them. You get used to it quickly though.Verdict:The boAt Airdopes 300 deliver phenomenal value. You get flagship-level features – incredible 50H battery life, truly immersive spatial audio, excellent call quality with AI ENx, fast charging, app support, low latency, and a sleek design – all at a very reasonable price point. The hype is real, and the 5K+ purchases last month make total sense.If you're looking for reliable, feature-packed, great-sounding TWS earbuds that won't die on you halfway through the day, look no further. The Airdopes 300 in Gunmetal Black are an easy 5-star recommendation! boAt has absolutely knocked it out of the park with these. Highly impressed!Read more"
4.0 out of 5 stars,Good product,"Great value for money! The sound quality is clear with good bass, the design is sleek, and they’re comfortable to wear. Battery life is solid and connectivity is stable. Call quality is decent, though slightly affected in noisy areas. Overall, a reliable and stylish pair of earbuds for everyday use.Read more"
5.0 out of 5 stars,"Deep Bass and Immersive Sound Experience – Just Wow!""",": Outstanding Sound Quality and Battery Life! ?????Ami boAt Airdopes 300 ti kichudin dhore bebohar korchhi ebong ami sotti-i impress. Er Spatial Audio feature-ti darun, cinema dekhar shomoy ekta theatre feel hoy. Bass khub-i punchy ebong clear.Pros:Battery: Ekbar charge-e pray 50 ghontar backup pawa jay, ja asadharon.Calling: Er quad-mic ENx technology calling-er shomoy baire noise khub bhalo bhabe kora komay.Gaming: 65ms low latency thakay gaming-er shomoy kono lag hoy na.Design: Multipoint connection thakay laptop ar phone eksathe connect kora jay.Verdict: Ei budget-e er cheye bhalo earbuds pawa kothin. Jara bass-heavy music ar long battery backup khujchhen, tara oboshshoi nite paren.Read more"
4.0 out of 5 stars,Anc,Good working for anc audio quality excellent and very good bass totally good quality for this price rangeRead more
3.0 out of 5 stars,average product,good product but battery life average means 1 dayRead more
5.0 out of 5 stars,"Budget friendly, and amazing app support","I appreciate to this product airdopes 300 have a good sound quality with better connectivity experience, it have gool call experience but with only with 2 bud not with one only and its beep to find feature is amazingthank you ??Read more"
5.0 out of 5 stars,"Best cinematic audio ,Best Spatial audio","A budget-friendly pair of twsfeatures like spatial audioGood battery life at an affordable price.? compact and stylish case with a smooth finish. They fit comfortably in the ears and can be used for long listening sessions without much discomfort.Sound Quality:The sound is bass-heavy and punchy, which is good for music lovers. Vocals and mids are clear.Battery Life:The earbuds provide long battery backup and can easily last a full day.Read more"
4.0 out of 5 stars,Good ????,"This product is GOOD???? You can buy this.  But there is a very little problem, there is a mini sound in the left bud. That doesn't cause any restriction in sound but sometimes a little irritating.Overall, for basic sound quality This is so good. The Battery life is soo good???? 40 min of charging can give upto 24 hours of usage.Read more"
5.0 out of 5 stars,"Great Sound quality, Comfortable Fit, Value for Money","? Rating: 9/10I bought the HAMMER Airflow New Earbuds and I am very satisfied with the performance.Sound quality is clear with good bass for this price range. Calling quality is also good.The earbuds are lightweight and comfortable to wear for long time.Battery backup is impressive and easily lasts a full day.Bluetooth connects fast and works smoothly without major lag.Overall, it is a value for money product.Highly recommended for daily use. ??Read more"
4.0 out of 5 stars,Definitely worth it for the price point,"The media could not be loaded.I've been using tws since many years and almost I've tried all the brands from cheap to most expensiveI bought this tws at 500rs for temporary basis because I was out of station and forgot mineI was honestly surprised by the quality and comfort of this hammer tws.Battery backup is top notch 80h is true, I recommend this to multimedia only. It's not made for calls as it doesn't have any enc or anc, indoor calling is fine.Connectivity is not bad. Range is approx 6 metersSize is compact and fit is good. Calls clarity is good tooRead more"
5.0 out of 5 stars,worth buying good quality,sound quality is very good with clear voice battery backup is excellent and gaming mode works well with low latency overall value for money productRead more
3.0 out of 5 stars,You are expecting high than the actual product,Earbuds is okay sound is good but not very topnoch it's a good product in this range but base are little bit low quality is light weightRead more
4.0 out of 5 stars,Why and Why Not?,"Why buy:Price rangeGood music and sound at 50%-60% volumeclaimed Playtime 80H, 13mm Titanium Driver, 40ms Gaming Mode, Fast Charging BudsWhy not buy:Volume on full throws sound out of earbuds very loud.Pre record sound of connecting and disconnecting is very bad (work on this especially Hammer)Little uncomfortable in my ear and pain causing in roughly 1-2 hours, if used constantly.My opinion:Voice at 50%, avoid connecting voice, check if they fit perfectly, you can take these.4 star to provide so much in budget (need some upgrades)Looking forward to improvement Hammer.Read more"
1.0 out of 5 stars,Don't buy verry disappointed ?? pairing volume hurt the ear,"I am using Hammer airflow neo earbuds 1.5 month and there is Two major issue. When the earbuds connect, the voice prompt “Connected to Hammer” plays at a very loud volume (around half volume or more). And big problem is repeating disconnect 8 to 9 time in 1 hourThis sudden loud sound is uncomfortable and hurts the ears, especially when the earbuds are already in the ears.Please consider reducing the volume of this connection voice prompt or provide an option to control it in a future update. Otherwise, the product works well.Read more"
5.0 out of 5 stars,Amazing Product,"Value for money product The audio quality of this TWS device is exceptional, and the touch controls operate seamlessly.  The battery life is remarkably impressive, and I particularly appreciate the premium aesthetic of its design. I highly recommend this product; it is a worthwhile investment in this price range.Read more"
4.0 out of 5 stars,1 Week Of Use ( My Opinion ),Here after 1 week of use:Postive points :• Very Good Sound and bass• Long battery life ( Charge it for 1 time it will last  long 3 days straight )• They don't come off while exercising or running or any physical activity• Very Affordable priceNegative points :• These are comfortable but not much it hurts your ears sometimes• Sometimes an single airbud gets disconnect for 0.5-1 sec but its okay• Very high sound on when they say bluetooth connectedConclusion:See this is the best product in this price range they are very affordable and gives best values to you. For me I am student and I don't have much money and they work best for me and are best for me.Hope this helps Thankyou.Read more
5.0 out of 5 stars,? Perfect Combination of Comfort and Sound,"I am very happy with the Nirvana Crown earbuds. The sound quality is excellent with deep bass and clear vocals. The battery backup is also very good and lasts for many hours on a single charge. The design is stylish and comfortable to wear for a long time. The connectivity is fast and stable with no lag. Overall, it is a great product with premium features at a good price. Highly recommended! ????Read more"
4.0 out of 5 stars,Nice EarPods,"Decent earpod with loads of features at this price. Sound quality is decent and easy to connect. But product is 2025 launch, not 2026, as displayed in the description.Read more"
5.0 out of 5 stars,Good and Nice,"I am very satisfied with this purchase. The sound quality is excellent with deep bass and very clear vocals. The Active Noise Cancellation works really well and helps block outside noise, which makes listening to music and taking calls much better.The earbuds are very comfortable to wear for long periods, and the battery life is also impressive. The Bluetooth connection is stable and connects quickly with my device. I also like the stylish design and the overall build quality.Overall, this product offers great features and performance for the price. Highly recommended for anyone looking for quality wireless earbuds. ???Read more"
1.0 out of 5 stars,Don't buy!,"I’ve used multiple products from boAt before, but this one has been a complete waste of money. Within just a few days, I started noticing issues, but I continued using it hoping it would improve — unfortunately, it only got worse.The battery backup is extremely poor, barely lasting as expected. Within a month, the device stopped charging properly and doesn’t even disconnect when placed back in the case. I have to manually turn off Bluetooth on my phone every time, which is very frustrating.On top of that, the earbuds keep resetting and disconnecting frequently during use, making the overall experience unreliable and annoying.I’ll have to send it for repair now, which is disappointing for such a new product.Read more"
5.0 out of 5 stars,Value for money and better than expected,"Very innovative and  smart. With stereo atmos , lighting , touch and everything fully customisable.Read more"
3.0 out of 5 stars,"Mic quality, Mic clearity is poor ??","Audio quality ok for listening music, but after giving 6 mic still the voice clearty is not ok. It's average level.Product finishing is good, easy for handling.Read more"
5.0 out of 5 stars,Awesome product,The sound quality is good and built quality is good. Overall good performance. Touch controls are good. Ear fit is okay. Softwares now work with ios.Read more
4.0 out of 5 stars,Good product,"Very good product.Long battery, Noise cancellation, Value of money and all rounderRead more"
5.0 out of 5 stars,Budget Friendly nd best quality,"Best Earbud in this price. Bass is awesome and amazing. Noise cancellation work when the volume is 60% .Battery is awesome, 4-5 days on a single charge. Overall the product is awesome. Build quality is amazing. It's light weight and give best experience. And volume is too loud..one of the best product from boat ,dual connection ,(boat airdrops 111v2)Read more"
4.0 out of 5 stars,"Sound Quality was Premium, Case Quality Low","The Quality of the product is Excellent, , The Sound Quality was Too notch, I feels perfect Bass and Crispy Premium Quality also it has Dual Paring, so it Helps me to pair my Laptop too...  but it is not as shown in the Image it's plastic body case it shows leather, but the SRead more"
5.0 out of 5 stars,These airpods are worth of money,"These airpods are actually good , very comfortable,  battery life is better than I expected overall , these airpods are worth of the price .Read more"
4.0 out of 5 stars,Price segment,The overall look of product is good and the sound quality is quite impressive. Overall experience is satisfactory under this price segment the product quality is good ??Read more
5.0 out of 5 stars,Excellent Quality,"Nice Quality of boat, sound good Excellent product by BoatRead more"
3.0 out of 5 stars,"Sound problem and mic, issue","Sound problem and mic, issue no SoundRead more"
5.0 out of 5 stars,Good product,Very good battery backup and voice qualityRead more
4.0 out of 5 stars,Good,"Battery: Up to 50 hours total playtime with charging case ?? ?Bluetooth: v5.4 for stable connection ?? ?Drivers: 13 mm dynamic drivers for balanced sound ?? ?Mics: Quad mics with ENx tech for better call clarity ?? ?Other: Dual EQ modes, ASAP fast-charge, IPX4 splash resistance, multipoint/Bluetooth dual pairing ? ?Gadgets 360 HindiThe Everything StoreThe Everything StoreThe Everything StoreThe Everything StoreNCAP ACCESSORIES?? Pros? Excellent battery life — one of the strongest points at this price. ?? Good sound quality for casual listening — decent bass and clarity in this segment. ?? Useful features like fast charge, dual pairing & EQ modes. ?? Stylish design with “premium” finish. ?The Everything StoreCromaNCAP ACCESSORIESThe Everything Store?? Cons? Mixed reviews on connectivity & reliability — some users report frequent disconnects or one bud not working properly. ?? Build quality varies — comfort and fit opinions differ; some find them uncomfortable or loose. ?? Mic performance is average — while ENx is advertised, real-world call quality can be hit-or-miss. ?? After-sales & service complaints with boAt overall — may be an issue if you need warranty support. ?AmazonAmazonAmazonRedditRead more"
5.0 out of 5 stars,Excellent product,"I don't usually write reviews, but this product has forced me to.... I bought this in August,2023 for around Rs. 2300... I don't usually spend more than 1k on earbuds... But I was looking for good battery backup at that time and came accross this Boat Nirvana Ion... seriously, this is my best buy till date in earbuds... I use it daily and using it till now, almost 3yrs... Battery backup is still excellent and sound is also good.Read more"
4.0 out of 5 stars,"Compact would be better, but sound is good..","These earbuds are great overall, but the size of the buds is a bit large for my liking. If they were smaller, they'd be way more comfortable. Sound quality's good though, and battery life's solid. ??""Read more"
5.0 out of 5 stars,Bought it for its battery back-up but got more,"Let me start with the elephant in the room claim - 24 hours battery back up from buds alone. I received this TWS around 6:45 in the evening, took about a couple  minutes to check the box contents and make sure the TWS was in perfect condition. Paired them with my phone only to find out the earbuds had 100% charge, so I started using them. I initiated my ""testing"" at 7 p.m. with The Jurassic Park (1993) at about 80% volume. 2 hours later, the buds had ~93% charge left. I said, ""Challenge accepted!"", and then watched the sequel, The Lost World (1997). Another 2 hours and some odd minutes later, the time was 11:10 p.m., the left bud showed 86% battery and the right was at 85%. At this point, I could see myself losing the battle, but I didn't wanna give up. I thought to myself, ""Maybe if I tried harder, I'd win."" But time, as always, wasn't on my side. It was 11:20 p.m., the silence of the night could be heard loudly and the fatigue of the day was catching up to me, when suddenly, an idea popped into my head. I rushed over to YouTube, searched for a 10 hour heavy metal music video, hit the play button, increased the earbuds volume to 100%, and then put both my phone and the buds on the bedside table grinning to myself thinking, ""Yeah, survive that."", and called it a night. The morning came and as my vision cleared up to show 7:20 a.m. on the clock, I reached out to my phone, assuredly and confidently convinced, I had won the war.I didn't. The right bud was at 41% and the left at 45%. At this juncture, I gladly accepted my defeat and decided to write this story, a story of a brave TWS, a story that will never be in any history books, a story where the eternal TWS won against its sadistic owner.As for the rest, I will keep it brief;In-ear Detection: Works very well, no complaints.Sound Quality: Signature mode is too bass-y, not for me, for sure. Balance mode does the job and it does it well.Call quality: THE BEST. Tested against Boat Rockers 255 Neo, Boult Audio X50, Dizo GoPods Neo, Realme T100.Build Quality: Buds good. Case lid, when closed, has a slight wobble to it. Everything else is upto the mark.One final remark would be in-ear fitting, and thus, noise isolation. I find these buds to provide noise isolation as good as Dizo Gopods Neo with its 25Db ANC mode on. It almost feels like they were custom made for my ears. But do keep in mind that this can and will differ from person to person.Thank you for your time and I hope I didn't waste it.Read more"
